#ies_format_version: 1.0
#file: 20250807_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	holding1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	holding2;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	holding1;	holding2
20250807;	101212;	1754541732.000;	       err32;	       err32
20250807;	101216;	1754541736.000;	        err8;	        err8
20250807;	101220;	1754541740.000;	       err32;	       err32
20250807;	101224;	1754541744.000;	       err32;	       err32
20250807;	101228;	1754541748.000;	       err32;	       err32
20250807;	101232;	1754541752.000;	       err32;	       err32
20250807;	101236;	1754541756.000;	        err8;	        err8
20250807;	101240;	1754541760.000;	        err8;	        err8
20250807;	101244;	1754541764.000;	        err8;	        err8
20250807;	101248;	1754541768.000;	        err8;	        err8
20250807;	101252;	1754541772.000;	        err8;	        err8
20250807;	101256;	1754541776.000;	        err8;	        err8
20250807;	101300;	1754541780.000;	        err8;	        err8
20250807;	101304;	1754541784.000;	        err8;	        err8
20250807;	101308;	1754541788.000;	        err8;	        err8
20250807;	101312;	1754541792.000;	        err8;	        err8
20250807;	101316;	1754541796.000;	        err8;	        err8
20250807;	101320;	1754541800.000;	        err8;	        err8
20250807;	101324;	1754541804.000;	        err8;	        err8
20250807;	101328;	1754541808.000;	        err8;	        err8
20250807;	101332;	1754541812.000;	        err8;	        err8
20250807;	101336;	1754541816.000;	        err8;	        err8
20250807;	101340;	1754541820.000;	        err8;	        err8
20250807;	101344;	1754541824.000;	        err8;	        err8
20250807;	101348;	1754541828.000;	        err8;	        err8
20250807;	101352;	1754541832.000;	        err8;	        err8
20250807;	101356;	1754541836.000;	        err8;	        err8
20250807;	101400;	1754541840.000;	        err8;	        err8
20250807;	101404;	1754541844.000;	        err8;	        err8
20250807;	101408;	1754541848.000;	        err8;	        err8
20250807;	101412;	1754541852.000;	        err8;	        err8
20250807;	101416;	1754541856.000;	        err8;	        err8
20250807;	101420;	1754541860.000;	        err8;	        err8
20250807;	101424;	1754541864.000;	        err8;	        err8
20250807;	101428;	1754541868.000;	        err8;	        err8
20250807;	101432;	1754541872.000;	        err8;	        err8
20250807;	101436;	1754541876.000;	        err8;	        err8
20250807;	101440;	1754541880.000;	        err8;	        err8
20250807;	101444;	1754541884.000;	        err8;	        err8
20250807;	101448;	1754541888.000;	        err8;	        err8
20250807;	101452;	1754541892.000;	        err8;	        err8
20250807;	101456;	1754541896.000;	        err8;	        err8
20250807;	101500;	1754541900.000;	        err8;	        err8
20250807;	101504;	1754541904.000;	        err8;	        err8
20250807;	101508;	1754541908.000;	        err8;	        err8
20250807;	101512;	1754541912.000;	        err8;	        err8
20250807;	101516;	1754541916.000;	        err8;	        err8
20250807;	101520;	1754541920.000;	        err8;	        err8
20250807;	101524;	1754541924.000;	        err8;	        err8
20250807;	101528;	1754541928.000;	        err8;	        err8
20250807;	101532;	1754541932.000;	        err8;	        err8
20250807;	101536;	1754541936.000;	        err8;	        err8
20250807;	101540;	1754541940.000;	        err8;	        err8
20250807;	101544;	1754541944.000;	        err8;	        err8
20250807;	101548;	1754541948.000;	        err8;	        err8
20250807;	101552;	1754541952.000;	        err8;	        err8
20250807;	101556;	1754541956.000;	        err8;	        err8
20250807;	101600;	1754541960.000;	        err8;	        err8
20250807;	101604;	1754541964.000;	        err8;	        err8
20250807;	101608;	1754541968.000;	        err8;	        err8
20250807;	101612;	1754541972.000;	        err8;	        err8
20250807;	101616;	1754541976.000;	        err8;	        err8
20250807;	101620;	1754541980.000;	        err8;	        err8
20250807;	101624;	1754541984.000;	        err8;	        err8
20250807;	101628;	1754541988.000;	        err8;	        err8
20250807;	101632;	1754541992.000;	        err8;	        err8
20250807;	101636;	1754541996.000;	        err8;	        err8
20250807;	101640;	1754542000.000;	        err8;	        err8
20250807;	101644;	1754542004.000;	        err8;	        err8
20250807;	101648;	1754542008.000;	        err8;	        err8
20250807;	101652;	1754542012.000;	        err8;	        err8
20250807;	101656;	1754542016.000;	        err8;	        err8
20250807;	101700;	1754542020.000;	        err8;	        err8
20250807;	101704;	1754542024.000;	        err8;	        err8
20250807;	101708;	1754542028.000;	        err8;	        err8
20250807;	101712;	1754542032.000;	        err8;	        err8
20250807;	101716;	1754542036.000;	        err8;	        err8
20250807;	101720;	1754542040.000;	        err8;	        err8
